Entity,Continent,Gender,Mean BMI 2000,Mean BMI 2004,Mean BMI 2008,Mean BMI 2012,Mean BMI 2016
Afghanistan,Asia,Male,21.36950574,21.6282274,21.94726997,22.26185019,22.59727899
Afghanistan,Asia,Female,22.16827048,22.56762969,23.08330994,23.59478507,24.10689909
Albania,Europe,Male,25.49308165,25.77613126,26.19041371,26.61704145,27.06083759
Albania,Europe,Female,25.1455318,25.38501211,25.73993422,26.09548179,26.42865202
Algeria,Africa,Male,23.53687812,23.76777048,24.07101123,24.41764774,24.77725397
Algeria,Africa,Female,25.30447714,25.57613535,25.8857349,26.19187722,26.48940865
American Samoa,Oceania,Male,33.55654846,33.4968854,33.35639821,33.21720688,33.09525727
American Samoa,Oceania,Female,35.12527113,35.2091508,35.2169974,35.18474247,35.15510809
Andorra,Europe,Male,27.00349421,27.19091908,27.38383724,27.46293149,27.47462216
Andorra,Europe,Female,26.67476605,26.66197506,26.59270075,26.46775324,26.30960323
Angola,Africa,Male,21.16084534,21.42245528,21.76357357,22.07261159,22.36461265
Angola,Africa,Female,22.32578877,22.75282697,23.29149275,23.79088,24.26281086
Antigua and Barbuda,North America,Male,24.44679745,24.70516501,25.04595771,25.38662689,25.73584965
Antigua and Barbuda,North America,Female,26.07013147,26.41798147,26.86621801,27.33090943,27.83193368
Argentina,South America,Male,26.53225733,26.77056476,27.12365834,27.51136877,27.91578809
Argentina,South America,Female,26.12089903,26.4081143,26.80227865,27.23051401,27.68492003
Armenia,Asia,Male,24.67270532,24.82819509,25.07773205,25.36943051,25.66860041
Armenia,Asia,Female,26.77134728,26.8506307,26.94960671,27.05501892,27.16630128
Australia,Oceania,Male,26.75915697,27.03637391,27.33976952,27.54400091,27.68325796
Australia,Oceania,Female,25.99865493,26.26713732,26.52678718,26.70499149,26.84056032
Austria,Europe,Male,25.85309272,26.07096634,26.33048229,26.5142204,26.64113411
Austria,Europe,Female,24.34425163,24.44575118,24.55850102,24.65037876,24.72908597
Azerbaijan,Asia,Male,24.91521572,25.09753608,25.40147811,25.7659835,26.15012541
Azerbaijan,Asia,Female,26.44345969,26.72984143,27.13988801,27.58058705,28.03896677
Bahamas,North America,Male,25.90684293,26.17198935,26.5188088,26.86076803,27.20071868
Bahamas,North America,Female,27.78427553,28.03958275,28.35371561,28.66262274,28.98006353
Bahrain,Asia,Male,25.27161869,25.19680549,25.05184782,24.96405741,24.90852026
Bahrain,Asia,Female,26.04603503,25.82565343,25.47106999,25.15117742,24.86205092
Bangladesh,Asia,Male,20.53623664,20.70742962,20.90281325,21.10096178,21.33982943
Bangladesh,Asia,Female,19.8167321,20.23676759,20.7919544,21.3545334,21.9154566
Barbados,North America,Male,25.17457935,25.42257778,25.75368806,26.08818463,26.42875441
Barbados,North America,Female,28.01071849,28.27789586,28.61244512,28.95415874,29.31793589
Belarus,Europe,Male,25.36859083,25.63780334,25.99394454,26.29205543,26.56296535
Belarus,Europe,Female,26.21624752,26.40277265,26.61998288,26.77234537,26.88713317
Belgium,Europe,Male,26.03457879,26.23813002,26.48765835,26.6639898,26.77505168
Belgium,Europe,Female,25.27369012,25.361573,25.48365047,25.60461821,25.72039764
Belize,North America,Male,26.13409606,26.43252733,26.80831439,27.17332015,27.53950567
Belize,North America,Female,28.8324643,29.21034671,29.67896385,30.14507373,30.62962794
Benin,Africa,Male,21.78360858,22.02235217,22.30236316,22.49446362,22.63234042
Benin,Africa,Female,22.44973106,22.92022506,23.49548793,24.00230106,24.4658024
Bermuda,North America,Male,26.47626277,26.71284001,27.02949913,27.34416586,27.656563
Bermuda,North America,Female,28.48414457,28.66676038,28.8948415,29.1252742,29.36647586
Bhutan,Asia,Male,22.07747199,22.40540417,22.80415295,23.15983592,23.5086725
Bhutan,Asia,Female,22.42031408,22.87272825,23.43873807,23.95704228,24.44809243
Bolivia,South America,Male,23.76895716,24.05320354,24.45412244,24.88035731,25.31401264
Bolivia,South America,Female,25.83240823,26.22369612,26.73132245,27.25781606,27.79510888
Bosnia and Herzegovina,Europe,Male,25.23821322,25.46060931,25.7751911,26.09049398,26.43731882
Bosnia and Herzegovina,Europe,Female,24.59512436,24.71660071,24.89810603,25.08707929,25.28791462
Botswana,Africa,Male,21.76729165,21.97702502,22.22826942,22.41919057,22.59010931
Botswana,Africa,Female,25.58636498,25.78546236,25.9898509,26.13910111,26.26568877
Brazil,South America,Male,24.62157116,24.90261944,25.3292521,25.81635176,26.33917967
Brazil,South America,Female,25.24370161,25.51805571,25.92083341,26.39036706,26.90829736
Brunei,Asia,Male,25.14876936,25.50580916,26.02462914,26.57874307,27.167919
Brunei,Asia,Female,25.65794134,25.93832242,26.32589831,26.75511337,27.21634225
Bulgaria,Europe,Male,25.80430541,26.05390054,26.42466086,26.80752093,27.21528481
Bulgaria,Europe,Female,25.12977865,25.25478399,25.45710043,25.6674326,25.87790241
Burkina Faso,Africa,Male,21.03208383,21.31623998,21.68127995,21.9661274,22.19577356
Burkina Faso,Africa,Female,20.87050627,21.17383197,21.53937175,21.8389456,22.08968057
Burundi,Africa,Male,20.94883893,21.15039877,21.39337903,21.5981561,21.80526402
Burundi,Africa,Female,20.30672822,20.56939733,20.89225145,21.20475558,21.52499897
Cambodia,Asia,Male,20.74019742,20.97211591,21.30030958,21.65514216,22.05113884
Cambodia,Asia,Female,20.69826296,20.97657985,21.35670943,21.78881636,22.26680459
Cameroon,Africa,Male,22.65049686,22.92428175,23.24448141,23.46320358,23.61837342
Cameroon,Africa,Female,23.55645378,23.96535395,24.43706268,24.81909326,25.14831825
Canada,North America,Male,26.88792163,27.10012372,27.30392768,27.40769719,27.44537476
Canada,North America,Female,25.99758282,26.22780414,26.44888931,26.60673484,26.73270436
Cape Verde,Africa,Male,22.71535468,23.00683514,23.34964672,23.58808957,23.75957849
Cape Verde,Africa,Female,23.93783471,24.32036301,24.75263103,25.09045279,25.36464843
Central African Republic,Africa,Male,21.14436186,21.33338178,21.58143152,21.80370333,22.02261212
Central African Republic,Africa,Female,21.95000155,22.30892161,22.775648,23.22594216,23.6709651
Chad,Africa,Male,21.18090442,21.41601846,21.69378272,21.88114582,22.0155931
Chad,Africa,Female,20.80568646,21.09982591,21.43583129,21.69843523,21.92290168
Chile,South America,Male,26.42286222,26.68995462,27.06909837,27.47158437,27.8873564
Chile,South America,Female,27.14840157,27.34966535,27.62532972,27.93324433,28.26195968
China,Asia,Male,22.49666789,22.7231744,23.10676032,23.57391257,24.12940796
China,Asia,Female,22.48811066,22.65243426,22.92994084,23.23847663,23.52585449
Colombia,South America,Male,24.20469284,24.53389343,24.97403605,25.42362106,25.87730931
Colombia,South America,Female,25.71717921,25.93975615,26.18752787,26.43337235,26.69102002
Comoros,Africa,Male,22.42590878,22.6282796,22.87381762,23.08808895,23.30573763
Comoros,Africa,Female,23.244413,23.70933993,24.32890221,24.9571938,25.5996335
Congo,Africa,Male,21.50407128,21.68532156,21.92590161,22.13933717,22.34269887
Congo,Africa,Female,22.76134097,23.08778208,23.48019004,23.82442139,24.14332965
Cook Islands,Oceania,Male,31.39416709,31.64591619,32.01383261,32.38997522,32.76346746
Cook Islands,Oceania,Female,32.16212765,32.47846344,32.82857252,33.09213295,33.31123583
Costa Rica,North America,Male,25.57943677,25.87688183,26.23978681,26.55960807,26.84277233
