Entity,Year,Mean BMI (male),Mean BMI (female),Continent
Afghanistan,2010,22.18156918,23.4669499,Asia
Afghanistan,2011,22.26185019,23.59478507,Asia
Afghanistan,2012,22.3438711,23.72296541,Asia
Afghanistan,2013,22.42778543,23.85132667,Asia
Afghanistan,2014,22.51238634,23.97913537,Asia
Albania,2010,26.50991056,26.00860063,Europe
Albania,2011,26.61704145,26.09548179,Europe
Albania,2012,26.72517754,26.18105126,Europe
Albania,2013,26.83524213,26.26513652,Europe
Albania,2014,26.94717003,26.34766264,Europe
Algeria,2010,24.32793414,26.11620574,Africa
Algeria,2011,24.41764774,26.19187722,Africa
Algeria,2012,24.50780301,26.26686537,Africa
Algeria,2013,24.59774192,26.34157601,Africa
Algeria,2014,24.68790379,26.41581674,Africa
American Samoa,2010,33.25046616,35.19320689,Oceania
American Samoa,2011,33.21720688,35.18474247,Oceania
American Samoa,2012,33.1851278,35.17688925,Oceania
American Samoa,2013,33.15407533,35.16935185,Oceania
American Samoa,2014,33.12424455,35.16201894,Oceania
Andorra,2010,27.45355031,26.50447899,Europe
Andorra,2011,27.46293149,26.46775324,Europe
Andorra,2012,27.46757086,26.42897304,Europe
Andorra,2013,27.46988628,26.3891765,Europe
Andorra,2014,27.47202023,26.34916115,Europe
Angola,2010,21.99831533,23.66906729,Africa
Angola,2011,22.07261159,23.79088,Africa
Angola,2012,22.14630885,23.91079829,Africa
Angola,2013,22.2192578,24.02957213,Africa
Angola,2014,22.29213236,24.14683339,Africa
Antigua and Barbuda,2010,25.30013302,27.21114185,North America
Antigua and Barbuda,2011,25.38662689,27.33090943,North America
Antigua and Barbuda,2012,25.47325038,27.4531326,North America
Antigua and Barbuda,2013,25.56026357,27.57779116,North America
Antigua and Barbuda,2014,25.64770011,27.70417115,North America
Argentina,2010,27.41184965,27.11978401,South America
Argentina,2011,27.51136877,27.23051401,South America
Argentina,2012,27.61173296,27.34260352,South America
Argentina,2013,27.71254199,27.45616573,South America
Argentina,2014,27.81400675,27.57044021,South America
Armenia,2010,25.29518116,27.02811812,Asia
Armenia,2011,25.36943051,27.05501892,Asia
Armenia,2012,25.44413903,27.08245289,Asia
Armenia,2013,25.5187466,27.11057826,Asia
Armenia,2014,25.59390227,27.13858176,Asia
Australia,2010,27.50275149,26.66711169,Oceania
Australia,2011,27.54400091,26.70499149,Oceania
Australia,2012,27.58035331,26.74014113,Oceania
Australia,2013,27.61457686,26.77426041,Oceania
Australia,2014,27.64853378,26.80777765,Oceania
Austria,2010,26.47593121,24.62981348,Europe
Austria,2011,26.5142204,24.65037876,Europe
Austria,2012,26.54817731,24.66988466,Europe
Austria,2013,26.57962094,24.68958006,Europe
Austria,2014,26.61050389,24.70916912,Europe
Azerbaijan,2010,25.67171465,27.46836705,Asia
Azerbaijan,2011,25.7659835,27.58058705,Asia
Azerbaijan,2012,25.86109173,27.69440509,Asia
Azerbaijan,2013,25.95707542,27.80928321,Asia
Azerbaijan,2014,26.05366527,27.92423282,Asia
