Entity,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Overweight or Obese (NCDRisC (2017)),Population (historical estimates),Continent
Afghanistan,2010,2104,11.7,28189672,Asia
Afghanistan,2011,2107,12.1,29249156,Asia
Afghanistan,2012,2100,12.5,30466484,Asia
Afghanistan,2013,2090,12.9,31541216,Asia
Afghanistan,2014,2095,13.2,32716214,Asia
Albania,2010,3076,54.8,2913402,Europe
Albania,2011,3132,55.8,2900660,Europe
Albania,2012,3184,56.7,2892191,Europe
Albania,2013,3193,57.5,2887019,Europe
Albania,2014,3266,58.4,2884100,Europe
Algeria,2010,3142,48.3,35856348,Africa
Algeria,2011,3217,49.1,36543548,Africa
Algeria,2012,3272,49.9,37260568,Africa
Algeria,2013,3296,50.7,38000628,Africa
Algeria,2014,3377,51.5,38760168,Africa
Angola,2010,2345,15.9,23364196,Africa
Angola,2011,2407,16.6,24259120,Africa
Angola,2012,2384,17.3,25188298,Africa
Angola,2013,2473,18,26147012,Africa
Angola,2014,2419,18.6,27128340,Africa
Antigua and Barbuda,2010,2316,49.9,85710,North America
Antigua and Barbuda,2011,2369,50.7,86749,North America
Antigua and Barbuda,2012,2293,51.5,87688,North America
Antigua and Barbuda,2013,2417,52.3,88512,North America
Antigua and Barbuda,2014,2400,53.2,89252,North America
Argentina,2010,3155,63.8,41100124,South America
Argentina,2011,3161,64.6,41520736,South America
Argentina,2012,3197,65.3,41952364,South America
Argentina,2013,3229,66,42388268,South America
Argentina,2014,3245,66.6,42824064,South America
Armenia,2010,2768,50.5,2946296,Asia
Armenia,2011,2788,51.7,2928984,Asia
Armenia,2012,2882,52.8,2914428,Asia
Armenia,2013,2928,53.9,2901386,Asia
Armenia,2014,3069,54.9,2889937,Asia
Australia,2010,3213,67.4,22019166,Oceania
Australia,2011,3237,67.9,22357032,Oceania
Australia,2012,3257,68.5,22729272,Oceania
Australia,2013,3276,69,23111788,Oceania
Australia,2014,3407,69.6,23469578,Oceania
Austria,2010,3724,60.7,8362829,Europe
Austria,2011,3735,61.1,8391201,Europe
Austria,2012,3739,61.6,8429641,Europe
Austria,2013,3768,62,8479542,Europe
Austria,2014,3672,62.5,8546066,Europe
Azerbaijan,2010,2973,50.7,9237203,Asia
Azerbaijan,2011,3039,51.9,9359018,Asia
Azerbaijan,2012,3055,53,9485577,Asia
Azerbaijan,2013,3118,54.1,9614478,Asia
Azerbaijan,2014,3093,55.1,9741879,Asia
Bahamas,2010,2598,58.6,373277,North America
Bahamas,2011,2568,59.1,377956,North America
Bahamas,2012,2671,59.7,382073,North America
Bahamas,2013,2670,60.3,385660,North America
Bahamas,2014,2636,60.9,389137,North America
Bangladesh,2010,2439,12.3,148391136,Asia
Bangladesh,2011,2429,12.8,150211008,Asia
Bangladesh,2012,2435,13.2,152090656,Asia
Bangladesh,2013,2450,13.7,154030144,Asia
Bangladesh,2014,2494,14.1,155961312,Asia
Barbados,2010,2909,48,274717,North America
Barbados,2011,2892,48.8,275501,North America
Barbados,2012,2912,49.6,276207,North America
Barbados,2013,2937,50.5,276873,North America
Barbados,2014,2913,51.3,277501,North America
Belarus,2010,3196,57.2,9731426,Europe
Belarus,2011,3400,58.2,9706983,Europe
Belarus,2012,3400,59.2,9693754,Europe
Belarus,2013,3250,60,9691143,Europe
Belarus,2014,3335,60.9,9693741,Europe
Belgium,2010,3707,65.5,10877948,Europe
Belgium,2011,3720,65.8,10955742,Europe
Belgium,2012,3715,66.2,11031140,Europe
Belgium,2013,3733,66.5,11103260,Europe
Belgium,2014,3789,66.9,11176727,Europe
Belize,2010,2839,43.7,322115,North America
Belize,2011,2761,44.4,329546,North America
Belize,2012,2735,45,337067,North America
Belize,2013,2751,45.7,344695,North America
Belize,2014,2627,46.3,352343,North America
Benin,2010,2555,15,9445716,Africa
Benin,2011,2598,15.4,9726385,Africa
Benin,2012,2610,15.9,10014087,Africa
Benin,2013,2619,16.3,10308730,Africa
Benin,2014,2739,16.8,10614845,Africa
Bermuda,2010,2677,65.6,63466,North America
Bermuda,2011,2649,66.4,63554,North America
Bermuda,2012,2649,67.3,63581,North America
Bermuda,2013,2671,68.1,63527,North America
Bolivia,2010,2177,46,10223277,South America
Bolivia,2011,2222,46.7,10396249,South America
Bolivia,2012,2234,47.5,10569697,South America
Bolivia,2013,2256,48.3,10743352,South America
Bolivia,2014,2310,49,10916991,South America
Bosnia and Herzegovina,2010,3099,52,3811093,Europe
Bosnia and Herzegovina,2011,3134,52.7,3743143,Europe
Bosnia and Herzegovina,2012,3050,53.5,3674376,Europe
Bosnia and Herzegovina,2013,3154,54.2,3617564,Europe
Bosnia and Herzegovina,2014,3200,54.9,3571070,Europe
Botswana,2010,2234,27,2091666,Africa
Botswana,2011,2273,27.9,2134043,Africa
Botswana,2012,2342,28.8,2175429,Africa
Botswana,2013,2326,29.8,2217285,Africa
Botswana,2014,2385,30.8,2260383,Africa
Brazil,2010,3230,51.7,196353504,South America
Brazil,2011,3286,52.6,198185296,South America
Brazil,2012,3248,53.5,199977712,South America
Brazil,2013,3263,54.4,201721776,South America
Brazil,2014,3303,55.2,203459648,South America
Brunei,2010,2894,41.8,396064,Asia
Brunei,2011,2941,42.5,401515,Asia
Brunei,2012,2970,43.3,406637,Asia
Brunei,2013,2985,44,411704,Asia
Bulgaria,2010,2762,61.4,7592271,Europe
Bulgaria,2011,2769,62,7543128,Europe
Bulgaria,2012,2777,62.5,7488347,Europe
Bulgaria,2013,2829,63,7431169,Europe
Bulgaria,2014,2865,63.5,7372142,Europe
Burkina Faso,2010,2681,13.7,16116851,Africa
Burkina Faso,2011,2664,14,16602652,Africa
Burkina Faso,2012,2707,14.4,17113736,Africa
Burkina Faso,2013,2720,14.7,17636414,Africa
Burkina Faso,2014,2737,15,18169844,Africa
Cambodia,2010,2417,10.8,14363534,Asia
Cambodia,2011,2426,11.2,14573894,Asia
Cambodia,2012,2432,11.6,14786650,Asia
Cambodia,2013,2477,12,14999691,Asia
Cambodia,2014,2504,12.4,15210817,Asia
Cameroon,2010,2510,19.8,19878044,Africa
Cameroon,2011,2573,20.2,20448880,Africa
Cameroon,2012,2622,20.7,21032684,Africa
Cameroon,2013,2671,21.2,21632852,Africa
Cameroon,2014,2685,21.7,22299590,Africa
Canada,2010,3447,67.2,33963416,North America
Canada,2011,3474,67.7,34323536,North America
Canada,2012,3485,68.1,34691876,North America
Canada,2013,3494,68.5,35063696,North America
Canada,2014,3414,69,35404616,North America
Central African Republic,2010,2164,11.6,4660066,Africa
Central African Republic,2011,2154,11.9,4732037,Africa
Central African Republic,2012,2116,12.3,4773306,Africa
Central African Republic,2013,1879,12.4,4802437,Africa
