Country,Year,Percentage,Continent
Afghanistan,2010,3.3,Asia
Afghanistan,2011,3.5,Asia
Afghanistan,2012,3.7,Asia
Afghanistan,2013,3.9,Asia
Afghanistan,2014,4.1,Asia
Albania,2010,18.7,Europe
Albania,2011,19.3,Europe
Albania,2012,19.9,Europe
Albania,2013,20.5,Europe
Albania,2014,21.1,Europe
Algeria,2010,21.4,Africa
Algeria,2011,22.2,Africa
Algeria,2012,23.1,Africa
Algeria,2013,23.9,Africa
Algeria,2014,24.8,Africa
Andorra,2010,26,Europe
Andorra,2011,26.3,Europe
Andorra,2012,26.6,Europe
Andorra,2013,27,Europe
Andorra,2014,27.3,Europe
Angola,2010,5.1,Africa
Angola,2011,5.3,Africa
Angola,2012,5.6,Africa
Angola,2013,5.9,Africa
Angola,2014,6.2,Africa
Antigua and Barbuda,2010,16.1,North America
Antigua and Barbuda,2011,16.6,North America
Antigua and Barbuda,2012,17,North America
Antigua and Barbuda,2013,17.5,North America
Antigua and Barbuda,2014,18,North America
Argentina,2010,25.3,South America
Argentina,2011,25.8,South America
Argentina,2012,26.3,South America
Argentina,2013,26.9,South America
Argentina,2014,27.4,South America
Armenia,2010,17.5,Asia
Armenia,2011,17.9,Asia
Armenia,2012,18.5,Asia
Armenia,2013,19,Asia
Armenia,2014,19.6,Asia
Australia,2010,26.7,Oceania
Australia,2011,27.3,Oceania
Australia,2012,27.9,Oceania
Australia,2013,28.5,Oceania
Australia,2014,29.1,Oceania
Austria,2010,19.2,Europe
Austria,2011,19.6,Europe
Austria,2012,20.1,Europe
Austria,2013,20.5,Europe
Austria,2014,21,Europe
Azerbaijan,2010,15.9,Asia
Azerbaijan,2011,16.5,Asia
Azerbaijan,2012,17.1,Asia
Azerbaijan,2013,17.8,Asia
Azerbaijan,2014,18.5,Asia
Bahamas,2010,28.6,North America
Bahamas,2011,29.2,North America
Bahamas,2012,29.7,North America
Bahamas,2013,30.3,North America
Bahamas,2014,30.9,North America
Bahrain,2010,25,Asia
Bahrain,2011,25.6,Asia
Bahrain,2012,26.2,Asia
Bahrain,2013,26.8,Asia
Bahrain,2014,27.4,Asia
Bangladesh,2010,2.2,Asia
Bangladesh,2011,2.4,Asia
Bangladesh,2012,2.6,Asia
Bangladesh,2013,2.7,Asia
Bangladesh,2014,2.9,Asia
Barbados,2010,21,North America
Barbados,2011,21.6,North America
Barbados,2012,22.2,North America
Barbados,2013,22.8,North America
Barbados,2014,23.5,North America
Belarus,2010,23.7,Europe
Belarus,2011,24.1,Europe
Belarus,2012,24.6,Europe
Belarus,2013,25.1,Europe
Belarus,2014,25.6,Europe
Belgium,2010,22.2,Europe
Belgium,2011,22.5,Europe
Belgium,2012,22.9,Europe
Belgium,2013,23.3,Europe
Belgium,2014,23.7,Europe
Belize,2010,18.8,North America
Belize,2011,19.3,North America
Belize,2012,19.9,North America
Belize,2013,20.5,North America
Belize,2014,21.1,North America
Benin,2010,6.4,Africa
Benin,2011,6.7,Africa
Benin,2012,7,Africa
Benin,2013,7.3,Africa
Benin,2014,7.6,Africa
Bhutan,2010,4,Asia
Bhutan,2011,4.2,Asia
Bhutan,2012,4.5,Asia
Bhutan,2013,4.8,Asia
Bhutan,2014,5.1,Asia
Bolivia,2010,15.9,South America
Bolivia,2011,16.3,South America
Bolivia,2012,16.8,South America
Bolivia,2013,17.3,South America
Bolivia,2014,17.7,South America
Bosnia and Herzegovina,2010,17,Europe
Bosnia and Herzegovina,2011,17.3,Europe
Bosnia and Herzegovina,2012,17.7,Europe
Bosnia and Herzegovina,2013,18.1,Europe
Bosnia and Herzegovina,2014,18.5,Europe
Botswana,2010,14.1,Africa
Botswana,2011,14.4,Africa
Botswana,2012,14.7,Africa
Botswana,2013,15,Africa
Botswana,2014,15.4,Africa
Brazil,2010,18.8,South America
Brazil,2011,19.4,South America
Brazil,2012,19.9,South America
Brazil,2013,20.5,South America
Brazil,2014,21.1,South America
Brunei,2010,11.2,Asia
Brunei,2011,11.7,Asia
Brunei,2012,12.3,Asia
Brunei,2013,12.9,Asia
Brunei,2014,13.5,Asia
Bulgaria,2010,24.3,Europe
Bulgaria,2011,24.8,Europe
Bulgaria,2012,25.3,Europe
Bulgaria,2013,25.8,Europe
Bulgaria,2014,26.4,Europe
Burkina Faso,2010,3.2,Africa
Burkina Faso,2011,3.4,Africa
Burkina Faso,2012,3.6,Africa
Burkina Faso,2013,3.8,Africa
Burkina Faso,2014,4,Africa
Burundi,2010,3.1,Africa
Burundi,2011,3.3,Africa
Burundi,2012,3.5,Africa
Burundi,2013,3.7,Africa
Burundi,2014,4,Africa
Cambodia,2010,2.4,Asia
Cambodia,2011,2.5,Asia
Cambodia,2012,2.7,Asia
Cambodia,2013,2.9,Asia
Cambodia,2014,3.1,Asia
Cameroon,2010,7.5,Africa
Cameroon,2011,7.8,Africa
Cameroon,2012,8.1,Africa
Cameroon,2013,8.4,Africa
Cameroon,2014,8.8,Africa
Canada,2010,27.6,North America
Canada,2011,28.2,North America
Canada,2012,28.8,North America
Canada,2013,29.4,North America
Canada,2014,30.1,North America
Cape Verde,2010,8.1,Africa
Cape Verde,2011,8.5,Africa
Cape Verde,2012,8.9,Africa
Cape Verde,2013,9.3,Africa
Cape Verde,2014,9.7,Africa
Central African Rep.,2010,4.9,Africa
Central African Rep.,2011,5.1,Africa
Central African Rep.,2012,5.3,Africa
Central African Rep.,2013,5.6,Africa
Central African Rep.,2014,5.8,Africa
Chad,2010,3.7,Africa
Chad,2011,3.9,Africa
Chad,2012,4,Africa
Chad,2013,4.2,Africa
Chad,2014,4.4,Africa
Chile,2010,25.5,South America
Chile,2011,26,South America
Chile,2012,26.6,South America
Chile,2013,27.1,South America
Chile,2014,27.7,South America
China,2010,4.5,Asia
China,2011,4.8,Asia
China,2012,5.1,Asia
China,2013,5.5,Asia
China,2014,5.8,Asia
Colombia,2010,18.8,South America
Colombia,2011,19.4,South America
Colombia,2012,19.9,South America
Colombia,2013,20.5,South America
Colombia,2014,21,South America
Comoros,2010,5.3,Africa
Comoros,2011,5.5,Africa
Comoros,2012,5.8,Africa
Comoros,2013,6.1,Africa
Comoros,2014,6.3,Africa
Congo,2010,6.5,Africa
Congo,2011,6.8,Africa
Congo,2012,7.1,Africa
Congo,2013,7.4,Africa
Congo,2014,7.7,Africa
Costa Rica,2010,20.8,North America
Costa Rica,2011,21.6,North America
Costa Rica,2012,22.4,North America
Costa Rica,2013,23.2,North America
Costa Rica,2014,24,North America
Côte d'Ivoire,2010,7,Africa
Côte d'Ivoire,2011,7.3,Africa
Côte d'Ivoire,2012,7.6,Africa
Côte d'Ivoire,2013,8,Africa
Côte d'Ivoire,2014,8.3,Africa
Croatia,2010,23.8,Europe
Croatia,2011,24.4,Europe
Croatia,2012,24.9,Europe
Croatia,2013,25.4,Europe
Croatia,2014,26,Europe
Cuba,2010,23.1,North America
Cuba,2011,23.7,North America
Cuba,2012,24.3,North America
Cuba,2013,24.9,North America
Cuba,2014,25.5,North America
Cyprus,2010,20.1,Asia
Cyprus,2011,20.5,Asia
Cyprus,2012,20.9,Asia
Cyprus,2013,21.3,Asia
Cyprus,2014,21.7,Asia
Czechia,2010,25.8,Europe
